country,company_name,exchange,lei,isin,ticker,cik,aliases
USA,Valero Energy,XNYS,549300XTO5VR8SKV1V74,US91913Y1001,VLO,1035002,VALERO ENERGY CORP/TX
USA,CVS Health,XNYS,549300EJG376EN5NQE29,US1266501006,CVS,64803,CVS HEALTH Corp
USA,Robinhood,XNAS,213800FS5AO3YWIE6F63,US7707001027,HOOD,1783879,"Robinhood Markets, Inc."
USA,Lowe's Companies,XNYS,WAFCR4OKGSC504WU3E95,US5486611073,LOW,60667,LOWES COMPANIES INC
USA,AppLovin,XNAS,549300LLVXMUAOL3SQ07,US03831W1080,APP,1751008,AppLovin Corp
USA,Starbucks,XNAS,OQSJ1DU9TAOC51A47K68,US8552441094,SBUX,829224,STARBUCKS CORP
USA,Automatic Data Processing,XNAS,HGBOLILQXWER4SAL2I23,US0530151036,ADP,8670,AUTOMATIC DATA PROCESSING INC
USA,Freeport-McMoRan,XNYS,549300IRDTHJQ1PVET45,US35671D8570,FCX,831259,FREEPORT-MCMORAN INC
USA,Stryker Corporation,XNYS,5493002F0SC4JTBU5137,US8636671013,SYK,310764,STRYKER CORP
USA,Phillips 66,XNYS,5493005JBO5YSIGK1814,US7185461040,PSX,1534701,Phillips 66
USA,McKesson,XNYS,549300WZWOM80UCFSF54,US58155Q1031,MCK,927653,MCKESSON CORP
USA,Equinix,XNAS,549300EVUN2BTLJ3GT74,US29444U5020,EQIX,1101239,EQUINIX INC
USA,BNY Mellon (Bank of New York Mellon),XNYS,WFLLPEPC7FZXENRZV188,US0640581007,BNY,1390777,Bank of New York Mellon Corp
USA,Southern Company,XNYS,549300FC3G3YU2FBZD92,US8425871071,SO,92122,SOUTHERN CO
USA,Vertiv Holdings,XNYS,549300KTTIRAOGXCRV69,US92537N1081,VRT,1674101,Vertiv Holdings Co
USA,Airbnb,XNAS,549300HMUDNO0RY56D37,US0090661010,ABNB,1559720,"Airbnb, Inc."
USA,CME Group,XNAS,LCZ7XYGSLJUHFXXNXD88,US12572Q1058,CME,1156375,CME GROUP INC.
USA,Quanta Services,XNYS,SHVRXXEACT60MMH07S24,US74762E1029,PWR,1050915,"QUANTA SERVICES, INC."
USA,Adobe,XNAS,FU4LY2G4933NH2E1CP29,US00724F1012,ADBE,796343,ADOBE INC.
USA,HCA Healthcare,XNYS,529900PH4ZGUH2MNEU89,US40412C1018,HCA,860730,"HCA Healthcare, Inc."
USA,Constellation Energy,XNAS,549300F8Y20RYGNGV346,US21037T1097,CEG,1868275,Constellation Energy Corp
USA,General Dynamics,XNYS,9C1X8XOOTYY2FNYTVH06,US3695501086,GD,40533,GENERAL DYNAMICS CORP
USA,U.S. Bancorp,XNYS,N1GZ7BBF3NP8GI976H15,US9029733048,USB,36104,US BANCORP DE
USA,KKR & Co.,XNYS,K3NEK11EF7N3JVJE7V46,US48248M1027,KKR,1404912,KKR & Co. Inc.
USA,PNC Financial Services,XNYS,CFGNEKW0P8842LEUIA51,US6934751057,PNC,713676,"PNC FINANCIAL SERVICES GROUP, INC."
USA,Duke Energy,XNYS,I1BZKREC126H0VB1BL91,US26441C2044,DUK,1326160,Duke Energy CORP
USA,Howmet Aerospace,XNYS,549300HO5WFZUT5N2T22,US03965L1008,HWM,4281,Howmet Aerospace Inc.
USA,Marriott International,XNAS,225YDZ14ZO8E1TXUSU86,US5719032022,MAR,1048286,MARRIOTT INTERNATIONAL INC /MD/
USA,Datadog,XNAS,549300F6JNO0KRPO1K63,US23804L1035,DDOG,1561550,"Datadog, Inc."
USA,Elevance Health,XNYS,8MYN82XMYQH89CTMTH67,US0367521038,ELV,1156039,"Elevance Health, Inc."
USA,Monster Beverage,XNAS,52990090AP0E7HCB6F33,US6117401017,MNST,865752,Monster Beverage Corp
USA,Williams Companies,XNYS,D71FAKCBLFS2O0RBPG08,US9694571004,WMB,107263,"WILLIAMS COMPANIES, INC."
USA,3M,XNYS,LUZQVYP4VS22CLWDAR65,US88579Y1010,MMM,66740,3M CO
USA,Intercontinental Exchange,XNYS,5493000F4ZO33MV32P92,US45866F1049,ICE,1571949,"Intercontinental Exchange, Inc."
USA,CSX Corporation,XNAS,549300JVQR4N1MMP3Q88,US1264081035,CSX,277948,CSX CORP
USA,Emerson,XNYS,FGLT0EWZSUIRRITFOA30,US2910111044,EMR,32604,EMERSON ELECTRIC CO
USA,Lumentum,XNAS,549300JLWRRC38DWEF52,US55024U1097,LITE,1633978,Lumentum Holdings Inc.
USA,DoorDash,XNAS,549300NUQ43FGGSK5051,US25809K1051,DASH,1792789,"DoorDash, Inc."
USA,Cadence Design Systems,XNAS,GCT7RXJOGLXPV0NXZY22,US1273871087,CDNS,813672,CADENCE DESIGN SYSTEMS INC
USA,Regeneron Pharmaceuticals,XNAS,549300RCBFWIRX3HYQ56,US75886F1075,REGN,872589,"REGENERON PHARMACEUTICALS, INC."
USA,Waste Management,XNYS,549300YX8JIID70NFS41,US94106L1098,WM,823768,WASTE MANAGEMENT INC
USA,Enterprise Products,XNYS,K4CDIF4M54DJZ6TB4Q48,US2937921078,EPD,1061219,ENTERPRISE PRODUCTS PARTNERS L.P.
USA,American Tower,XNYS,5493006ORUSIL88JOE18,US03027X1000,AMT,1053507,AMERICAN TOWER CORP /MA/
USA,Bloom Energy,XNYS,549300XB5J9BFW5JXV97,US0937121079,BE,1664703,Bloom Energy Corp
USA,Hewlett Packard Enterprise,XNYS,549300BX44RGX6ANDV88,US42824C1099,HPE,1645590,Hewlett Packard Enterprise Co
USA,United Parcel Service,XNYS,D01LMJZU09ULLNCY6Z23,US9113121068,UPS,1090727,UNITED PARCEL SERVICE INC
USA,Moody's,XNYS,549300GCEDD8YCF5WU84,US6153691059,MCO,1059556,MOODYS CORP /DE/
USA,Marsh & McLennan Companies,XNYS,549300XMP3KDCKJXIU47,US5717481023,MRSH,62709,"MARSH & MCLENNAN COMPANIES, INC."
USA,Comcast,XNAS,51M0QTTNCGUN7KFCFZ59,US20030N2001,CMCSA,1166691,COMCAST CORP
USA,Sherwin-Williams,XNYS,Z15BMIOX8DDH0X2OBP21,US8243481061,SHW,89800,SHERWIN WILLIAMS CO
