country,company_name,exchange,lei,isin,ticker,cik,aliases
USA,QUALCOMM,XNAS,H1J8DDZKZP6H7RWC0H53,US7475251036,QCOM,804328,QUALCOMM INC/DE
USA,American Express,XNYS,R4PP93JZOLY261QX3811,US0258161092,AXP,4962,AMERICAN EXPRESS CO
USA,Amphenol,XNYS,549300D3L3G0R4U4VT04,US0320951017,APH,820313,AMPHENOL CORP /DE/
USA,Verizon,XNYS,2S72QS2UO2OESLG6Y829,US92343V1044,VZ,732712,VERIZON COMMUNICATIONS INC
USA,Salesforce,XNYS,RCGZFPDMRW58VJ54VR07,US79466L3024,CRM,1108524,"Salesforce, Inc."
USA,Gilead Sciences,XNAS,549300WTZWR07K8MNV44,US3755581036,GILD,882095,"GILEAD SCIENCES, INC."
USA,Deere & Company (John Deere),XNYS,PWFTNG3EI0Y73OXWDH08,US2441991054,DE,315189,DEERE & CO
USA,Analog Devices,XNAS,GYVOE5EZ4GDAVTU4CQ61,US0326541051,ADI,6281,ANALOG DEVICES INC
USA,Abbott Laboratories,XNYS,HQD377W2YR662HK5JX27,US0028241000,ABT,1800,ABBOTT LABORATORIES
USA,Walt Disney,XNYS,549300GZKULIZ0WOW665,US2546871060,DIS,1744489,Walt Disney Co
USA,Pepsico,XNYS,FJSUNZKFNQ5YPJ5OT455,US7134481081,PEP,77476,PEPSICO INC
USA,McDonald,XNYS,UE2136O97NLB5BYP9H04,US5801351017,MCD,63908,MCDONALDS CORP
USA,T-Mobile US,XNAS,549300QHIJYOHPACPG31,US8725901040,TMUS,1283699,"T-Mobile US, Inc."
USA,Charles Schwab,XNYS,549300VSGCJ7E698NM85,US8085131055,SCHW,316709,SCHWAB CHARLES CORP
USA,BlackRock,XNYS,529900VBK42Y5HHRMD23,US09247X1019,BLK,1364742,"BlackRock, Inc."
USA,AT&T,XNYS,549300Z40J86GGSTL398,US00206R1023,T,732717,AT&T INC.
USA,Southern Copper,XNYS,2549007U6NAP46Q9TU15,US84265V1052,SCCO,1001838,SOUTHERN COPPER CORP/
USA,Welltower,XNYS,254900F33BIAR82QTA19,US95040Q1040,WELL,766704,WELLTOWER INC.
USA,Nextera Energy,XNYS,254900RHL9MEUS5NKX63,US3025711041,NEE,753308,NEXTERA ENERGY INC
USA,Western Digital,XNAS,549300QQXOOYEF89IC56,US9581021055,WDC,106040,WESTERN DIGITAL CORP
USA,Union Pacific Corporation,XNYS,549300LMMRSZZCZ8CL11,US9078181081,UNP,100885,UNION PACIFIC CORP
USA,Pfizer,XNYS,765LHXWGK1KXCLTFYQ30,US7170811035,PFE,78003,PFIZER INC
USA,Boeing,XNYS,RVHJWBXLJ1RFUBSY1F30,US0970231058,BA,12927,BOEING CO
USA,Danaher,XNYS,S4BKK9OTCEWQ3YHPFM11,US2358511028,DHR,313616,DANAHER CORP /DE/
USA,Interactive Brokers,XNAS,5493004DT6DCDUZNDM53,US45841N1072,IBKR,1381197,"Interactive Brokers Group, Inc."
USA,ConocoPhillips,XNYS,WPTL2Z3FIYTHSP5V2253,US20825C1045,COP,1163165,CONOCOPHILLIPS
USA,Blackstone Group,XNYS,5299004LW4QWGZUB8Y96,US09253U1088,BX,1393818,Blackstone Inc.
USA,Intuitive Surgical,XNAS,54930052SRG011710797,US46120E6023,ISRG,1035267,INTUITIVE SURGICAL INC
USA,Uber,XNYS,549300B2FTG34FILDR98,US90353T1007,UBER,1543151,"Uber Technologies, Inc"
USA,TJX Companies,XNYS,V167QI9I69W364E2DY52,US8725401090,TJX,109198,TJX COMPANIES INC /DE/
USA,ServiceNow,XNYS,549300HJTQM36M0E1G39,US81762P1021,NOW,1373715,"ServiceNow, Inc."
USA,Corning,XNYS,549300X2937PB0CJ7I56,US2193501051,GLW,24741,CORNING INC /NY
USA,Vertex Pharmaceuticals,XNAS,54930015RAQRRZ5ZGJ91,US92532F1003,VRTX,875320,VERTEX PHARMACEUTICALS INC / MA
USA,Prologis,XNYS,529900DFH19P073LZ636,US74340W1036,PLD,1045609,"Prologis, Inc."
USA,Newmont,XNYS,549300VSP3RIX7FGDZ51,US6516391066,NEM,1164727,NEWMONT Corp /DE/
USA,Bristol-Myers Squibb,XNYS,HLYYNH7UQUORYSJQCN42,US1101221083,BMY,14272,BRISTOL MYERS SQUIBB CO
USA,Fortinet,XNAS,549300O0QJWDBAS0QX03,US34959E1091,FTNT,1262039,"Fortinet, Inc."
USA,Cloudflare,XNYS,5493007DY18BGNLDWU14,US18915M1071,NET,1477333,"Cloudflare, Inc."
USA,Capital One,XNYS,ZUE8T73ROZOF6FLBAR73,US14040H1059,COF,927628,CAPITAL ONE FINANCIAL CORP
USA,Booking Holdings (Booking.com),XNAS,FXM8FAOHMYDIPD38UZ17,US09857L1089,BKNG,1075531,Booking Holdings Inc.
USA,Parker-Hannifin,XNYS,5493002CONDB4N2HKI23,US7010941042,PH,76334,Parker-Hannifin Corp
USA,Lockheed Martin,XNYS,DPRBOZP0K5RM2YE8UU08,US5398301094,LMT,936468,LOCKHEED MARTIN CORP
USA,Snowflake,XNYS,254900CJNSY1K7T53Z16,US8334451098,SNOW,1640147,Snowflake Inc.
USA,Progressive,XNYS,529900TACNVLY9DCR586,US7433151039,PGR,80661,PROGRESSIVE CORP/OH/
USA,S&P Global,XNYS,Y6X4K52KMJMZE7I7MY94,US78409V1044,SPGI,64040,S&P Global Inc.
USA,Altria Group,XNYS,XSGZFLO9YTNO9VCQV219,US02209S1033,MO,764180,"ALTRIA GROUP, INC."
USA,Marathon Petroleum,XNYS,3BNYRYQHD39K4LCKQF12,US56585A1025,MPC,1510295,Marathon Petroleum Corp
